EXIO3,year,Country Area,Land Use,Pourcentage
NL,1975,33760.0,24019.010277,71.14635745556872
NO,1975,365244.0,131136.289122,35.90374903407037
PL,1975,306290.0,284269.678203,92.8106298615691
PT,1975,91500.0,73189.051372,79.9880342863388
RO,1975,230340.0,210737.93459,91.48994294955283
SE,1975,407339.7,312544.966251,76.72833417685534
TR,1975,769630.0,596464.036484,77.50010218988345
TW,1975,35410.0,9169.999844,25.89663892685682
US,1975,9158960.0,7359185.0,80.34957025688506
WA,1975,7292038.74,5495618.0,75.36462978253459
WE,1975,130315.25,39900.119722,30.618150770535298
WF,1975,23962685.0,14229960.0,59.38382948321526
WL,1975,10213363.61,7414113.0,72.59227501447978
WM,1975,6459790.0,2122255.0,32.85331256898444
ZA,1975,1213090.0,1129208.6875,93.08531827811622
AT,1976,82520.0,67468.859931,81.76061552472127
AU,1976,7682300.0,6051379.0,78.77040729989717
BE,1976,30067.48,21196.899952,70.49776021136456
BG,1976,110630.0,93685.722353,84.68383110639068
BR,1976,8358140.0,7641388.0,91.42450353786847
CA,1976,8965590.0,4087663.0,45.59279422770838
CH,1976,39528.0,28032.799393,70.91884080398705
CN,1976,9424690.0,6648030.3125,70.5384507341886
CY,1976,9240.0,3305.150026,35.770021926406926
DE,1976,349130.0,292241.984893,83.705778619139
DK,1976,40000.0,34270.3191,85.67579775
ES,1976,499570.0,467073.888437,93.4951835452489
FI,1976,304590.0,246029.974303,80.77414698545586
FR,1976,547566.0,463229.44332,84.59791939601801
GB,1976,241930.0,212424.673633,87.8041886632497
GR,1976,128900.0,128188.768946,99.4482303692785
HU,1976,89950.0,82731.160637,91.97460882379099
ID,1976,1811570.0,1454431.16,80.28567264858658
IE,1976,68890.0,54138.949766,78.58753050660472
IN,1976,2973190.0,2484295.0,83.55655037182285
IT,1976,294110.0,244094.95125,82.9944412804733
JP,1976,366500.0,302803.467534,82.62031856316507
KR,1976,96460.0,82758.61812,85.79578905245698
LU,1976,2574.46,2120.810059,82.37883125004855
MT,1976,320.0,132.929997,41.540624062499994
MX,1976,1943950.0,1718882.0,88.42213019882199
NL,1976,33760.0,23964.529434,70.98498055094787
NO,1976,365244.0,131130.429783,35.90214480812826
PL,1976,306290.0,284019.665564,92.72900374285808
PT,1976,91500.0,73201.520972,80.00166226448087
RO,1976,230340.0,210774.782139,91.50593997525397
SE,1976,407339.7,312548.310786,76.7291552446275
TR,1976,769630.0,596250.988203,77.47242028026454
TW,1976,35410.0,9200.010234,25.981390098842134
US,1976,9158960.0,7359185.0,80.34957025688506
WA,1976,7292038.74,5377908.0,73.75040358054927
WE,1976,130315.25,39784.889788,30.529726787923902
WF,1976,23962685.0,14240330.0,59.42710510111868
WL,1976,10213233.61,7414325.0,72.59527474961968
WM,1976,6459790.0,2117616.0,32.78149908897967
ZA,1976,1213090.0,1127798.0,92.9690295031696
AT,1977,82520.0,67456.999778,81.74624306592341
AU,1977,7682300.0,5989814.0,77.9690196946227
BE,1977,30078.1,21174.249687,70.39756396514409
BG,1977,110630.0,93717.061387,84.71215889632106
BR,1977,8358140.0,7643142.9875,91.44550088297157
CA,1977,8965590.0,4086791.0,45.58306815279307
CH,1977,39528.0,28028.459473,70.90786144758147
CN,1977,9424680.0,6667104.0,70.7409057920269
CY,1977,9240.0,3294.460052,35.654329567099566
DE,1977,349130.0,292065.527037,83.65523645547503
DK,1977,40000.0,34228.879273,85.57219818249999
ES,1977,499540.0,467323.244375,93.55071553329063
FI,1977,304590.0,246026.655985,80.77305754785121
FR,1977,547566.0,462760.420937,84.5122635329805
GB,1977,241930.0,211867.846211,87.57402811185054
GR,1977,128900.0,128158.768555,99.4249562102405
HU,1977,89960.0,82565.287955,91.77999994997778
ID,1977,1811570.0,1454509.0,80.28996947399217
IE,1977,68890.0,54365.878486,78.91693785164756
IN,1977,2973190.0,2484032.0,83.5477046539239
IT,1977,294110.0,243957.837168,82.94782128047329
JP,1977,366400.0,302705.811348,82.61621488755459
KR,1977,96460.0,82756.689358,85.79378950653121
LU,1977,2574.46,2121.890037,82.42078094046907
MT,1977,320.0,142.689999,44.590624687500004
MX,1977,1943950.0,1719097.0,88.43319015406774
NL,1977,33760.0,23858.199782,70.67002305094786
NO,1977,365244.0,131139.218703,35.90455112281105
PL,1977,306290.0,283619.682488,92.59841408077313
PT,1977,91500.0,73214.000774,80.01530139234973
RO,1977,230340.0,210795.288848,91.51484277502821
SE,1977,407339.7,312543.397647,76.72794909187589
TR,1977,769630.0,596706.790391,77.53164382768342
TW,1977,35410.0,9229.999883,26.066082696978256
US,1977,9158960.0,7359698.0,80.35517132949593
WA,1977,7292028.74,5388790.0,73.89973616587802
WE,1977,130315.25,39809.409331,30.548542347115937
WF,1977,23962685.0,14245450.0,59.44847165499192
WL,1977,10213233.61,7413378.0,72.58600246587329
WM,1977,6459790.0,2114853.0,32.738726800716435
ZA,1977,1213090.0,1127733.0,92.96367128572489
AT,1978,82520.0,67463.420389,81.75402373848765
AU,1978,7682300.0,6020289.0,78.36571078973745
BE,1978,30088.72,21151.610291,70.29747457186613
BG,1978,110630.0,93736.678418,84.7298910042484
BR,1978,8358140.0,7645069.0,91.46854443692017
CA,1978,8965590.0,4085918.0,45.57333092412212
